 DEPTH,BIT,BVOL,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,SPD,TTEN
1121.82,8.5,26.997,8.805,65.452,12.771,56.897,47.364,14.94,0.128,1.938,0.1,42.065,-0.599,1.827,8.538,3190.865
1121.89,8.5,26.993,8.805,71.104,12.769,56.896,47.776,14.788,0.127,1.945,0.1,41.728,-0.591,1.862,8.537,3193
1121.97,8.5,26.99,8.805,70.324,12.768,56.895,48.129,14.722,0.127,1.946,0.1,41.421,-0.52,1.914,8.536,3192.915
1122.05,8.5,26.986,8.805,68.05,12.766,56.894,49.422,14.662,0.128,1.942,0.1,41.153,-0.533,1.941,8.536,3190.966
1122.12,8.5,26.983,8.805,67.77,12.765,56.893,51.017,14.738,0.131,1.94,0.1,40.927,-0.594,1.934,8.535,3188.637
1122.2,8.5,26.979,8.805,70.333,12.763,56.892,51.028,14.8,0.133,1.942,0.1,40.714,-0.642,1.885,8.535,3187.474
1122.27,8.5,26.975,8.805,73.236,12.761,56.892,48.48,14.823,0.135,1.947,0.1,40.485,-0.494,1.796,8.535,3188.158
1122.35,8.5,26.972,8.805,72.765,12.76,56.891,44.29,14.843,0.137,1.95,0.1,40.247,-0.588,1.692,8.535,3190.552
1122.43,8.5,26.968,8.805,68.511,12.758,56.89,40.793,14.894,0.137,1.953,0.1,39.983,-0.626,1.617,8.536,3193.78
1122.5,8.5,26.965,8.805,64.934,12.756,56.89,38.858,14.941,0.137,1.956,0.1,39.649,-0.693,1.584,8.536,3196.77
1122.58,8.5,26.961,8.805,63.643,12.755,56.889,38.362,15.004,0.136,1.962,0.1,39.214,-0.701,1.581,8.536,3198.994
1122.66,8.5,26.958,8.805,64.718,12.753,56.889,38.609,15.011,0.135,1.971,0.1,38.639,-0.67,1.598,8.536,3200.44
1122.73,8.5,26.954,8.805,68.157,12.751,56.889,39.27,15.035,0.134,1.981,0.1,37.92,-0.653,1.618,8.536,3201.231
1122.81,8.5,26.951,8.805,70.606,12.75,56.889,40.346,15.022,0.135,1.986,0.1,37.12,-0.689,1.633,8.536,3201.49
1122.88,8.5,26.947,8.805,69.828,12.748,56.889,41.292,15.068,0.135,1.983,0.1,36.322,-0.691,1.633,8.536,3201.137
1122.96,8.5,26.943,8.806,67.095,12.746,56.889,41.875,15.099,0.134,1.974,0.1,35.6,-0.687,1.641,8.536,3200.059
1123.04,8.5,26.94,8.806,62.212,12.745,56.889,41.458,15.123,0.134,1.964,0.1,35.011,-0.653,1.65,8.537,3198.391
1123.11,8.5,26.936,8.805,57.051,12.743,56.889,39.792,15.094,0.133,1.955,0.1,34.577,-0.651,1.678,8.537,3196.586
1123.19,8.5,26.933,8.805,57.569,12.741,56.89,37.52,15.048,0.133,1.949,0.1,34.272,-0.927,1.698,8.537,3195.299
1123.26,8.5,26.929,8.805,64.594,12.74,56.89,36.159,15.009,0.134,1.948,0.1,34.069,-0.301,1.738,8.537,3195.12
1123.34,8.5,26.926,8.805,73.373,12.738,56.89,36.117,14.995,0.135,1.953,0.1,33.93,-0.776,1.694,8.536,3196.269
1123.42,8.5,26.922,8.805,77.185,12.736,56.89,36.922,15.073,0.136,1.961,0.1,33.803,-0.577,1.729,8.534,3198.335
1123.49,8.5,26.919,8.805,74.279,12.735,56.89,37.514,15.142,0.136,1.967,0.1,33.649,-0.618,1.758,8.533,3200.873
1123.57,8.5,26.915,8.805,71.143,12.733,56.89,36.749,15.136,0.134,1.972,0.1,33.433,-0.696,1.776,8.532,3203.579
1123.65,8.5,26.911,8.805,72.259,12.731,56.89,35.062,15.047,0.131,1.977,0.1,33.12,-0.634,1.771,8.532,3206.035
1123.72,8.5,26.908,8.805,72.63,12.73,56.89,33.398,14.988,0.127,1.983,0.1,32.683,-0.706,1.756,8.532,3207.624
1123.8,8.5,26.904,8.806,67.422,12.728,56.89,32.96,14.953,0.124,1.984,0.1,32.118,-0.719,1.747,8.532,3207.602
1123.87,8.5,26.901,8.806,61.396,12.726,56.889,34.007,14.963,0.122,1.981,0.1,32.1,-0.627,1.738,8.532,3205.296
1123.95,8.5,26.897,8.806,59.286,12.725,56.888,36.518,15.005,0.121,1.977,0.1,32.082,-0.632,1.726,8.532,3201.002
1124.03,8.5,26.894,8.806,61.943,12.723,56.887,39.203,15.073,0.122,1.974,0.1,32.063,-0.646,1.724,8.533,3196.185
1124.1,8.5,26.89,8.806,67.461,12.721,56.886,40.741,15.151,0.124,1.972,0.1,32.045,-0.71,1.725,8.534,3192.885
1124.18,8.5,26.887,8.806,71.929,12.72,56.885,41.07,15.18,0.128,1.969,0.1,32.027,-0.66,1.725,8.535,3192.503
1124.26,8.5,26.883,8.805,72.533,12.718,56.884,40.659,15.193,0.133,1.968,0.1,32.009,-0.641,1.729,8.535,3194.729
1124.33,8.5,26.879,8.805,71.577,12.716,56.884,40.382,15.14,0.138,1.967,0.1,31.991,-0.667,1.728,8.536,3197.273
1124.41,8.5,26.876,8.805,69.776,12.715,56.884,40.572,15.08,0.141,1.968,0.1,31.973,-0.6,1.73,8.536,3197.632
1124.48,8.5,26.872,8.805,67.738,12.713,56.884,41.045,15.014,0.142,1.971,0.1,31.954,-0.66,1.718,8.536,3195.219
